precinct_id;new_electorate;total_votes;invalid_votes;valid_votes;A. Socialdemokratiet;B. Radikale Venstre;C. Det Konservative Folkeparti;F. SF - Socialistisk Folkeparti;I. Liberal Alliance;M. Moderaterne;O. Dansk Folkeparti;V. Venstre, Danmarks Liberale Parti;Æ. Danmarksdemokraterne - Inger Støjberg;Ø. Enhedslisten - De Rød-Grønne;Å. Alternativet;Andre
A21913;;;;;;;;;;;;;;;;
A21914;1196;744;8;736;104;41;66;124;54;78;60;96;49;47;17;0
A22301;;;;;;;;;;;;;;;;
A22302;776;493;9;484;50;46;59;71;42;42;38;64;34;26;12;0
A22303;2356;1468;34;1434;150;75;158;251;120;146;115;203;115;66;35;0
A22304;;;;;;;;;;;;;;;;
A22305;1457;1042;14;1028;135;104;77;267;53;81;44;126;22;96;23;0
A23001;;;;;;;;;;;;;;;;
A23002;;;;;;;;;;;;;;;;
A23003;;;;;;;;;;;;;;;;
A23004;;;;;;;;;;;;;;;;
A23005;;;;;;;;;;;;;;;;
A23006;;;;;;;;;;;;;;;;
A23007;;;;;;;;;;;;;;;;
A23008;;;;;;;;;;;;;;;;
A23009;;;;;;;;;;;;;;;;
A24001;;;;;;;;;;;;;;;;
A24002;;;;;;;;;;;;;;;;
A24003;;;;;;;;;;;;;;;;
A24004;;;;;;;;;;;;;;;;
A24005;;;;;;;;;;;;;;;;
A24006;1588;1280;16;1264;152;164;111;380;64;93;34;114;16;102;34;0
A24007;;;;;;;;;;;;;;;;
A24008;;;;;;;;;;;;;;;;
A24009;;;;;;;;;;;;;;;;
A25001;885;586;16;570;68;43;77;99;49;57;44;89;20;19;5;0
A25002;;;;;;;;;;;;;;;;
A25003;;;;;;;;;;;;;;;;
A25004;1406;1002;14;988;170;110;74;205;52;50;67;132;46;63;19;0
A25005;;;;;;;;;;;;;;;;
A25006;;;;;;;;;;;;;;;;
A25301;;;;;;;;;;;;;;;;
A25302;;;;;;;;;;;;;;;;
A25303;;;;;;;;;;;;;;;;
A25304;2393;1807;19;1788;174;201;237;361;146;178;51;279;37;83;41;0
A25305;;;;;;;;;;;;;;;;
A25901;;;;;;;;;;;;;;;;
A25902;;;;;;;;;;;;;;;;
A25903;;;;;;;;;;;;;;;;
A25904;;;;;;;;;;;;;;;;
A25905;;;;;;;;;;;;;;;;
A25906;;;;;;;;;;;;;;;;
A25907;;;;;;;;;;;;;;;;
A25908;2510;1975;19;1956;140;231;354;239;229;183;47;396;22;73;42;0
A25909;;;;;;;;;;;;;;;;
A25910;;;;;;;;;;;;;;;;
A25911;;;;;;;;;;;;;;;;
A26001;;;;;;;;;;;;;;;;
A26002;1937;1004;45;959;171;23;75;99;49;37;110;185;140;55;15;0
A26003;;;;;;;;;;;;;;;;
A26004;2207;1220;50;1170;237;53;93;179;41;64;110;206;88;73;26;0
A26005;2504;1429;30;1399;257;62;91;236;58;68;109;233;116;137;32;0
A26501;;;;;;;;;;;;;;;;
A26502;1545;1079;20;1059;168;67;61;259;46;51;30;186;39;127;25;0
A26503;;;;;;;;;;;;;;;;
A26504;1290;764;25;739;118;25;53;96;38;43;85;169;57;39;16;0
A26505;;;;;;;;;;;;;;;;
A26506;66;55;3;52;10;2;6;15;1;2;2;7;3;2;2;0
A26507;575;344;10;334;79;8;18;37;7;14;47;61;49;13;1;0
A26508;;;;;;;;;;;;;;;;
A26509;702;366;19;347;77;8;23;26;21;14;49;56;55;12;6;0
A26510;1739;812;26;786;192;18;71;76;33;35;132;91;96;36;6;0
A26511;;;;;;;;;;;;;;;;
A26512;29;26;1;25;3;0;1;0;0;5;2;6;6;1;1;0
A26513;;;;;;;;;;;;;;;;
A26514;;;;;;;;;;;;;;;;
A26515;;;;;;;;;;;;;;;;
A26516;358;208;2;206;44;4;14;20;8;10;34;34;23;10;5;0
A26517;357;231;4;227;28;10;22;54;8;9;20;20;20;29;7;0
A26518;95;68;0;68;14;1;5;13;1;3;2;12;10;7;0;0
A26901;1735;766;25;741;164;12;51;114;25;19;110;90;105;38;13;0
A26902;1878;953;29;924;221;16;55;107;37;46;103;165;125;38;11;0
A26903;;;;;;;;;;;;;;;;
A27001;1202;478;19;459;144;10;24;56;19;20;77;26;56;22;5;0
A27002;;;;;;;;;;;;;;;;
A27003;;;;;;;;;;;;;;;;
A27004;;;;;;;;;;;;;;;;
A27005;;;;;;;;;;;;;;;;
A27006;2205;1258;34;1224;275;42;162;166;75;85;106;140;116;31;26;0
A27007;1429;766;29;737;135;20;70;125;42;40;86;85;101;21;12;0
A27008;;;;;;;;;;;;;;;;
A27009;;;;;;;;;;;;;;;;
